chem_name,prod_name
Phenoxyethanol,Avocado Melt Retinol Sleeping Face Mask
Phenoxyethanol,B-Hydra™ Intensive Hydration Serum
Allantoin,Balance It All™ Essentials Set
Butylene Glycol,Balance It All™ Essentials Set
Caprylyl Glycol,Balance It All™ Essentials Set
Dimethicone,Balance It All™ Essentials Set
Glycerin,Balance It All™ Essentials Set
Lactic Acid,Balance It All™ Essentials Set
Phenoxyethanol,Balance It All™ Essentials Set
Sodium Hyaluronate,Balance It All™ Essentials Set
Lactic Acid,Balancing Force™ Oil Control Toner
Phenoxyethanol,Balancing Force™ Oil Control Toner
Phenoxyethanol,Beauty Elixir
Butylene Glycol,Benefiance Wrinkle Smoothing Cream Enriched
Caffeine,Benefiance Wrinkle Smoothing Cream Enriched
Dimethicone,Benefiance Wrinkle Smoothing Cream Enriched
Phenoxyethanol,Benefiance Wrinkle Smoothing Cream Enriched
Butylene Glycol,Benefiance Wrinkle Smoothing Day Cream SPF 23
Caffeine,Benefiance Wrinkle Smoothing Day Cream SPF 23
Dimethicone,Benefiance Wrinkle Smoothing Day Cream SPF 23
Glycerin,Benefiance Wrinkle Smoothing Day Cream SPF 23
Phenoxyethanol,Benefiance Wrinkle Smoothing Day Cream SPF 23
Butylene Glycol,Benefiance Wrinkle Smoothing Eye Cream
Caffeine,Benefiance Wrinkle Smoothing Eye Cream
Glycerin,Benefiance Wrinkle Smoothing Eye Cream
Methylparaben,Benefiance Wrinkle Smoothing Eye Cream
Mineral Oil,Benefiance Wrinkle Smoothing Eye Cream
Phenoxyethanol,Beste™ No. 9 Jelly Cleanser
Phenoxyethanol,Beta Hydroxy Acid (BHA) Blemish + Blackhead Serum
Ascorbyl Glucoside,Bienfait Multi-Vital Moisturizing Night Cream
Benzyl Alcohol,Bienfait Multi-Vital Moisturizing Night Cream
Butylene Glycol,Bienfait Multi-Vital Moisturizing Night Cream
Caprylyl Glycol,Bienfait Multi-Vital Moisturizing Night Cream
Dimethicone,Bienfait Multi-Vital Moisturizing Night Cream
Glycerin,Bienfait Multi-Vital Moisturizing Night Cream
Magnesium,Bienfait Multi-Vital Moisturizing Night Cream
Mineral Oil,Bienfait Multi-Vital Moisturizing Night Cream
Panthenol,Bienfait Multi-Vital Moisturizing Night Cream
